jgi|Atrsp2|1328084	MER0047718	36.2	304	167	10	146	437	6	294	3.52e-44	159
jgi|Atrsp2|1328084	MER0030016	37.8	201	92	7	141	339	20	189	2.87e-22	94.4
jgi|Atrsp2|1328084	MER0000311	37.4	203	93	11	141	339	11	183	5.66e-21	90.5
jgi|Atrsp2|1328084	MER0000313	33.8	201	103	10	141	339	11	183	1.54e-16	77.4
jgi|Atrsp2|1328084	MER0001521	33.8	201	103	10	141	339	11	183	1.54e-16	77.4
jgi|Atrsp2|1328084	MER0000312	33.3	201	104	10	141	339	11	183	3.78e-16	76.3
jgi|Atrsp2|1328084	MER0001523	33.3	201	104	10	141	339	11	183	3.78e-16	76.3
jgi|Atrsp2|1328084	MER0001755	32.8	201	105	10	141	339	11	183	1.25e-15	74.7
jgi|Atrsp2|1328084	MER0000320	33.3	177	95	8	139	314	9	163	5.20e-14	70.1
jgi|Atrsp2|1328084	MER0000309	30.8	201	110	8	140	339	10	182	3.48e-13	67.4
jgi|Atrsp2|1328084	MER0002057	30.4	181	105	6	141	312	38	206	4.75e-11	62.0
jgi|Atrsp2|1328084	MER0003536	27.1	192	111	7	148	337	25	189	9.09e-11	60.5
jgi|Atrsp2|1328084	MER0013656	27.9	215	117	11	141	355	10	186	5.13e-10	57.8
jgi|Atrsp2|1328084	MER0114485	31.1	193	113	8	139	312	16	207	1.85e-09	57.0
jgi|Atrsp2|1328084	MER0197239	30.4	112	71	3	215	320	83	193	3.39e-07	50.1
jgi|Atrsp2|1328084	MER0028258	24.5	355	218	13	142	462	20	358	1.88e-05	44.3
jgi|Atrsp2|1328084	MER0002500	33.9	109	63	3	484	586	302	407	6.00e-05	42.7
jgi|Atrsp2|1394713	MER0003908	59.0	78	32	0	130	207	1	78	8.91e-27	101
jgi|Atrsp2|1210510	MER0118932	51.6	225	108	1	2	225	14	238	1.12e-79	237
jgi|Atrsp2|1210510	MER0003564	39.7	229	128	6	2	223	14	239	2.32e-49	160
jgi|Atrsp2|1210510	MER0004247	41.8	232	120	6	1	225	19	242	1.00e-48	158
jgi|Atrsp2|1210510	MER0011350	42.0	205	112	3	1	202	17	217	3.58e-46	152
jgi|Atrsp2|1210510	MER0056209	39.3	196	115	3	2	195	14	207	1.30e-44	147
jgi|Atrsp2|1210510	MER0020074	31.1	132	87	3	49	178	1	130	3.07e-17	74.3
jgi|Atrsp2|907886	MER0118932	51.7	238	114	1	416	652	1	238	4.06e-78	246
jgi|Atrsp2|907886	MER0004247	39.7	242	139	3	414	652	5	242	5.41e-47	163
jgi|Atrsp2|907886	MER0003564	39.3	242	137	6	416	650	1	239	1.80e-46	162
jgi|Atrsp2|907886	MER0011350	40.9	220	123	3	413	629	2	217	1.31e-44	157
jgi|Atrsp2|907886	MER0056209	38.3	209	125	3	416	622	1	207	2.25e-41	147
jgi|Atrsp2|907886	MER0020074	31.1	132	87	3	476	605	1	130	2.24e-15	71.6
