jgi|Lorju1|448504	MER0001342	61.7	256	95	1	130	385	1	253	2.95e-119	344
jgi|Lorju1|448504	MER0013929	50.0	248	120	2	132	379	3	246	1.96e-80	245
jgi|Lorju1|448504	MER0005690	48.8	248	123	2	132	379	3	246	4.87e-80	244
jgi|Lorju1|448504	MER0015127	48.0	250	126	2	130	379	1	246	6.89e-80	243
jgi|Lorju1|448504	MER0015128	46.2	251	130	3	130	379	1	247	7.35e-71	220
jgi|Lorju1|448504	MER0013589	44.6	251	129	3	129	379	2	242	3.20e-70	218
jgi|Lorju1|448504	MER0010972	42.7	253	124	3	130	382	1	232	2.61e-69	216
jgi|Lorju1|448504	MER0001243	43.0	256	141	3	132	385	3	255	7.62e-65	205
jgi|Lorju1|472270	MER0000440	27.1	457	272	17	2	440	54	467	4.68e-28	113
jgi|Lorju1|472270	MER0000439	23.9	439	286	15	2	431	53	452	2.76e-23	99.0
jgi|Lorju1|422434	MER0033244	31.9	204	110	8	127	323	32	213	1.46e-19	84.3
jgi|Lorju1|422434	MER0017239	27.9	183	111	7	95	270	76	244	1.40e-13	67.8
jgi|Lorju1|495037	MER0014642	48.6	325	129	2	163	487	84	370	3.75e-103	323
jgi|Lorju1|495037	MER0004310	36.7	441	174	6	53	488	20	360	1.79e-91	288
jgi|Lorju1|495037	MER0004311	37.2	444	173	7	53	488	20	365	5.95e-91	287
jgi|Lorju1|495037	MER0005454	36.2	448	174	7	45	488	13	352	3.04e-88	280
jgi|Lorju1|495037	MER0014743	36.2	448	174	7	45	488	13	352	3.04e-88	280
jgi|Lorju1|495037	MER0014770	36.9	452	172	9	48	488	10	359	2.27e-86	275
jgi|Lorju1|495037	MER0014629	34.8	468	182	8	34	488	6	363	2.41e-86	275
jgi|Lorju1|495037	MER0001883	33.1	447	186	6	49	474	20	374	1.58e-79	258
jgi|Lorju1|495037	MER0002895	31.6	582	241	15	32	488	39	588	5.98e-75	251
jgi|Lorju1|495037	MER0002881	37.7	345	181	6	159	500	269	582	1.65e-67	231
jgi|Lorju1|495037	MER0062409	48.3	118	60	1	354	471	145	261	5.48e-32	122
jgi|Lorju1|495037	MER0024824	30.3	198	127	3	296	493	160	346	1.88e-22	96.7
jgi|Lorju1|495037	MER0005439	30.1	173	111	6	298	466	157	323	1.22e-17	82.4
jgi|Lorju1|495037	MER0038083	26.6	203	135	4	296	488	222	420	1.45e-16	79.7
jgi|Lorju1|495037	MER0016486	25.5	475	248	14	57	493	34	440	1.55e-16	79.7
jgi|Lorju1|495037	MER0004978	27.1	199	117	5	284	457	372	567	1.03e-13	71.6
jgi|Lorju1|495037	MER0004314	26.6	192	109	4	298	458	194	384	7.10e-12	65.1
jgi|Lorju1|495037	MER0014646	31.0	171	97	4	335	489	358	523	4.57e-11	62.8
jgi|Lorju1|495037	MER0014637	31.3	144	65	3	335	444	311	454	8.08e-08	52.4
jgi|Lorju1|148164	MER0036069	41.5	318	164	8	78	392	31	329	4.18e-71	224
jgi|Lorju1|148164	MER0037853	41.2	308	132	6	124	392	21	318	3.07e-64	206
jgi|Lorju1|148164	MER0208880	40.5	259	142	4	124	382	9	255	4.85e-57	185
jgi|Lorju1|507639	MER0000542	69.1	204	60	2	30	231	1	203	6.11e-95	276
jgi|Lorju1|507639	MER0004373	59.9	202	81	0	30	231	1	202	1.99e-83	246
jgi|Lorju1|507639	MER0001515	55.1	187	84	0	30	216	1	187	2.04e-70	213
jgi|Lorju1|507639	MER0011156	54.7	179	81	0	30	208	1	179	3.03e-67	205
jgi|Lorju1|507639	MER0011301	44.7	179	98	1	30	207	1	179	8.12e-49	158
jgi|Lorju1|507639	MER0026497	51.9	104	49	1	30	133	1	103	2.44e-30	107
jgi|Lorju1|507639	MER0000531	31.6	171	116	1	39	208	17	187	5.33e-22	88.6
jgi|Lorju1|507639	MER0004347	29.5	200	116	2	30	204	1	200	7.38e-18	77.4
jgi|Lorju1|507639	MER0011174	29.3	174	122	1	30	202	1	174	8.16e-18	77.0
jgi|Lorju1|507639	MER0001516	27.3	183	131	2	30	210	1	183	8.31e-18	77.0
jgi|Lorju1|507639	MER0013972	27.0	174	126	1	30	202	1	174	2.23e-17	75.9
jgi|Lorju1|507639	MER0056376	42.6	47	27	0	30	76	1	47	1.92e-06	43.9
jgi|Lorju1|545733	MER0215828	50.0	82	40	1	37	118	1	81	1.66e-20	82.8
jgi|Lorju1|472609	MER0001367	39.4	437	230	10	26	460	1	404	2.75e-91	280
