jgi|Glalo1|13	125535253	29.4	214	129	10	163	365	440	642	7.91e-10	61.2
jgi|Glalo1|13	87280658	29.4	214	129	10	163	365	796	998	9.08e-10	61.2
jgi|Glalo1|13	115486705	29.4	214	129	10	163	365	796	998	9.08e-10	61.2
jgi|Glalo1|13	62732901	29.4	214	129	10	163	365	796	998	9.22e-10	61.2
jgi|Glalo1|13	108864669	29.4	214	129	10	163	365	796	998	9.24e-10	61.2
jgi|Glalo1|18	116192883	39.9	213	110	2	85	297	430	624	4.73e-48	170
jgi|Glalo1|29	150002987	26.6	391	230	16	130	500	84	437	4.58e-24	107
jgi|Glalo1|29	196252208	24.4	394	238	15	131	500	106	463	9.04e-23	103
jgi|Glalo1|29	125974682	24.4	390	235	15	135	500	19	372	2.38e-21	99.0
jgi|Glalo1|29	197303127	26.1	491	247	21	74	500	61	499	5.10e-20	95.1
jgi|Glalo1|29	160891520	24.3	378	215	15	130	473	75	415	1.12e-19	93.6
jgi|Glalo1|29	160882544	24.4	397	239	18	131	500	86	448	1.82e-16	83.2
jgi|Glalo1|29	150009688	24.3	408	245	16	131	503	92	470	4.40e-16	82.0
jgi|Glalo1|29	160932133	20.8	389	258	11	132	500	61	419	7.05e-10	62.0
jgi|Glalo1|56	67537354	32.2	425	265	9	60	470	372	787	4.96e-57	202
jgi|Glalo1|61	145247392	51.1	395	186	3	4	397	5	393	1.49e-152	436
jgi|Glalo1|61	93103257	50.9	395	187	3	4	397	5	393	4.26e-152	435
jgi|Glalo1|61	59543888	50.6	395	188	3	4	397	5	393	2.44e-151	433
jgi|Glalo1|61	146323372	51.9	393	174	5	4	395	5	383	1.57e-148	426
jgi|Glalo1|61	119492149	49.4	399	190	3	4	395	5	398	4.28e-147	422
jgi|Glalo1|61	93103251	49.1	399	193	5	2	395	3	396	6.79e-142	409
jgi|Glalo1|61	145252034	49.1	399	193	5	2	395	3	396	1.37e-141	408
jgi|Glalo1|61	CAB59812	48.3	400	195	4	2	395	3	396	7.81e-141	406
jgi|Glalo1|61	1QO7B	48.2	398	194	4	4	395	3	394	1.94e-140	405
jgi|Glalo1|61	1QO7A	48.1	395	190	4	4	395	3	385	3.31e-139	402
jgi|Glalo1|61	121705302	45.9	410	196	4	4	395	5	406	4.52e-136	395
jgi|Glalo1|61	67525119	49.0	396	195	3	2	395	3	393	2.02e-135	393
jgi|Glalo1|61	46109766	47.8	393	199	4	3	394	4	391	3.25e-135	392
jgi|Glalo1|61	83766166	48.0	394	192	4	4	395	5	387	5.90e-131	381
jgi|Glalo1|61	189208684	44.9	401	202	5	4	395	7	397	7.71e-131	381
jgi|Glalo1|61	134119092	46.3	400	201	6	3	395	2	394	2.72e-124	364
jgi|Glalo1|61	58262596	46.3	400	201	6	3	395	2	394	2.72e-124	364
jgi|Glalo1|61	44889929	46.3	400	201	6	3	395	2	394	7.74e-124	363
jgi|Glalo1|61	45330835	45.8	400	199	7	3	395	2	390	7.16e-121	355
jgi|Glalo1|61	74040388	42.6	397	217	5	1	392	1	391	1.51e-120	355
jgi|Glalo1|61	169598946	43.6	401	200	6	4	395	7	390	1.67e-120	354
jgi|Glalo1|61	119501413	47.6	368	186	4	4	370	30	391	4.98e-112	333
jgi|Glalo1|61	115384812	53.1	305	135	3	99	395	18	322	1.39e-111	329
jgi|Glalo1|61	145608088	44.3	411	200	12	9	393	13	420	1.79e-110	341
jgi|Glalo1|61	169616462	42.7	389	202	6	17	397	11	386	1.37e-107	321
jgi|Glalo1|94	189200859	65.2	549	185	3	10	558	8	550	1.24e-269	746
jgi|Glalo1|94	156039433	47.2	561	280	8	9	558	10	565	4.98e-169	491
jgi|Glalo1|94	154294375	47.3	562	277	11	10	558	11	566	2.35e-167	486
jgi|Glalo1|94	169773941	42.4	528	282	10	41	556	11	528	9.52e-131	392
jgi|Glalo1|94	32404534	34.9	536	291	18	15	518	29	538	1.37e-66	228
jgi|Glalo1|94	171682376	32.6	562	298	19	45	554	5	537	4.52e-64	219
jgi|Glalo1|94	170095607	32.4	547	310	19	26	554	32	536	8.40e-64	218
jgi|Glalo1|94	170095153	31.9	555	317	22	18	554	22	533	2.16e-62	214
jgi|Glalo1|94	111070171	33.3	486	238	19	24	474	32	466	1.20e-60	210
