Umbelo1	439
Umbra1	391
Hesve2finisherSC	375
Morel2	491
Lobtra1	388
Ophnu1	359
Ophpic1	367
OphPMI507_1	606
DiaPMI573_1	1241
Diaam1	591
Pilidi1	458
ConPMI546	524
Conlig1	585
LecAK0013_1	484
ThoPMI491_1	1336
CodFL1790_1	871
Chagl_1	756
Ilyrob1	1117
Ilysp1	1274
Neodi1	658
MarPMI226	552
Neobo1	852
Acrchr1	402
Gloci1	930
Colfi1	735
Gloac1	751
Veral1	463
Sodal1	352
XylPMI506	1024
Pestal1	877
Truan1	784
Apimo1	737
XylPMI703_1	1092
Hyafin1	788
MelPMI1271_1	825
Chalo1	992
Leptod1	1072
Lepor2	1131
Rhesp1	830
Cadsp1	1116
Lorju1	668
Hymvar1	775
Zalva1	852
Glalo1	592
Amore1	382
Oidma1	989
Bissp1	881
Calmar1	346
Atrpi1	751
Botci1	496
Talst1_2	826
Talpro1	931
PhaPMI808	769
Ampqui1	438
Stano2	563
Stasp1	728
Atrsp2	486
Sepsp1	296
Pucst1	225
Phlfa1	415
ClaPMI390	677
Sisrad1	427
Botbo1	701
FlaPMI526_1	684
Niavib1	362
